,Unnamed: 0.1,Unnamed: 0,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
0,0,0,1312200,1,0,1,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
1,1,1,1312200,1,0,2,YBK Jaiswal,Mohammed Shami,JC Buttler,legbyes,0,1,1,0,0,,,,Rajasthan Royals
2,2,2,1312200,1,0,3,JC Buttler,Mohammed Shami,YBK Jaiswal,,1,0,1,0,0,,,,Rajasthan Royals
3,3,3,1312200,1,0,4,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
4,4,4,1312200,1,0,5,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
5,5,5,1312200,1,0,6,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
6,6,6,1312200,1,1,1,JC Buttler,Yash Dayal,YBK Jaiswal,,0,0,0,0,0,,,,Rajasthan Royals
7,7,7,1312200,1,1,2,JC Buttler,Yash Dayal,YBK Jaiswal,,0,0,0,0,0,,,,Rajasthan Royals
8,8,8,1312200,1,1,3,JC Buttler,Yash Dayal,YBK Jaiswal,,4,0,4,0,0,,,,Rajasthan Royals
9,9,9,1312200,1,1,4,JC Buttler,Yash Dayal,YBK Jaiswal,,0,0,0,0,0,,,,Rajasthan Royals
10,10,10,1312200,1,1,5,JC Buttler,Yash Dayal,YBK Jaiswal,,1,0,1,0,0,,,,Rajasthan Royals
11,11,11,1312200,1,1,6,YBK Jaiswal,Yash Dayal,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
12,12,12,1312200,1,2,1,JC Buttler,Mohammed Shami,YBK Jaiswal,,1,0,1,0,0,,,,Rajasthan Royals
13,13,13,1312200,1,2,2,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
14,14,14,1312200,1,2,3,YBK Jaiswal,Mohammed Shami,JC Buttler,,4,0,4,0,0,,,,Rajasthan Royals
15,15,15,1312200,1,2,4,YBK Jaiswal,Mohammed Shami,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
16,16,16,1312200,1,2,5,YBK Jaiswal,Mohammed Shami,JC Buttler,,6,0,6,0,0,,,,Rajasthan Royals
17,17,17,1312200,1,2,6,YBK Jaiswal,Mohammed Shami,JC Buttler,,3,0,3,0,0,,,,Rajasthan Royals
18,18,18,1312200,1,3,1,YBK Jaiswal,Yash Dayal,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
19,19,19,1312200,1,3,2,JC Buttler,Yash Dayal,YBK Jaiswal,,1,0,1,0,0,,,,Rajasthan Royals
20,20,20,1312200,1,3,3,YBK Jaiswal,Yash Dayal,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
21,21,21,1312200,1,3,4,YBK Jaiswal,Yash Dayal,JC Buttler,,2,0,2,0,0,,,,Rajasthan Royals
22,22,22,1312200,1,3,5,YBK Jaiswal,Yash Dayal,JC Buttler,,6,0,6,0,0,,,,Rajasthan Royals
23,23,23,1312200,1,3,6,YBK Jaiswal,Yash Dayal,JC Buttler,,0,0,0,0,1,YBK Jaiswal,caught,R Sai Kishore,Rajasthan Royals
24,24,24,1312200,1,4,1,JC Buttler,LH Ferguson,SV Samson,,0,0,0,0,0,,,,Rajasthan Royals
25,25,25,1312200,1,4,2,JC Buttler,LH Ferguson,SV Samson,,1,0,1,0,0,,,,Rajasthan Royals
26,26,26,1312200,1,4,3,SV Samson,LH Ferguson,JC Buttler,,4,0,4,0,0,,,,Rajasthan Royals
27,27,27,1312200,1,4,4,SV Samson,LH Ferguson,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
28,28,28,1312200,1,4,5,JC Buttler,LH Ferguson,SV Samson,,0,0,0,0,0,,,,Rajasthan Royals
29,29,29,1312200,1,4,6,JC Buttler,LH Ferguson,SV Samson,,0,0,0,0,0,,,,Rajasthan Royals
30,30,30,1312200,1,5,1,SV Samson,Rashid Khan,JC Buttler,,4,0,4,0,0,,,,Rajasthan Royals
31,31,31,1312200,1,5,2,SV Samson,Rashid Khan,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
32,32,32,1312200,1,5,3,JC Buttler,Rashid Khan,SV Samson,,1,0,1,0,0,,,,Rajasthan Royals
33,33,33,1312200,1,5,4,SV Samson,Rashid Khan,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
34,34,34,1312200,1,5,5,SV Samson,Rashid Khan,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
35,35,35,1312200,1,5,6,JC Buttler,Rashid Khan,SV Samson,,0,0,0,0,0,,,,Rajasthan Royals
36,36,36,1312200,1,6,1,SV Samson,LH Ferguson,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
37,37,37,1312200,1,6,2,SV Samson,LH Ferguson,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
38,38,38,1312200,1,6,3,JC Buttler,LH Ferguson,SV Samson,,0,0,0,0,0,,,,Rajasthan Royals
39,39,39,1312200,1,6,4,JC Buttler,LH Ferguson,SV Samson,,4,0,4,0,0,,,,Rajasthan Royals
40,40,40,1312200,1,6,5,JC Buttler,LH Ferguson,SV Samson,,4,0,4,0,0,,,,Rajasthan Royals
41,41,41,1312200,1,6,6,JC Buttler,LH Ferguson,SV Samson,,1,0,1,0,0,,,,Rajasthan Royals
120,120,120,1312200,2,0,1,WP Saha,TA Boult,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
121,121,121,1312200,2,0,2,WP Saha,TA Boult,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
122,122,122,1312200,2,0,3,WP Saha,TA Boult,Shubman Gill,,1,0,1,0,0,,,,Gujarat Titans
123,123,123,1312200,2,0,4,Shubman Gill,TA Boult,WP Saha,,0,0,0,0,0,,,,Gujarat Titans
124,124,124,1312200,2,0,5,Shubman Gill,TA Boult,WP Saha,,0,0,0,0,0,,,,Gujarat Titans
125,125,125,1312200,2,0,6,Shubman Gill,TA Boult,WP Saha,,4,0,4,0,0,,,,Gujarat Titans
126,126,126,1312200,2,1,1,WP Saha,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
127,127,127,1312200,2,1,2,WP Saha,M Prasidh Krishna,Shubman Gill,,4,0,4,0,0,,,,Gujarat Titans
128,128,128,1312200,2,1,3,WP Saha,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
129,129,129,1312200,2,1,4,WP Saha,M Prasidh Krishna,Shubman Gill,,0,0,0,0,1,WP Saha,bowled,,Gujarat Titans
130,130,130,1312200,2,1,5,MS Wade,M Prasidh Krishna,Shubman Gill,,2,0,2,0,0,,,,Gujarat Titans
131,131,131,1312200,2,1,6,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
132,132,132,1312200,2,2,1,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
133,133,133,1312200,2,2,2,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
134,134,134,1312200,2,2,3,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
135,135,135,1312200,2,2,4,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
136,136,136,1312200,2,2,5,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
137,137,137,1312200,2,2,6,Shubman Gill,TA Boult,MS Wade,,0,0,0,0,0,,,,Gujarat Titans
138,138,138,1312200,2,3,1,MS Wade,M Prasidh Krishna,Shubman Gill,wides,0,5,5,0,0,,,,Gujarat Titans
139,139,139,1312200,2,3,2,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
140,140,140,1312200,2,3,3,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
141,141,141,1312200,2,3,4,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
142,142,142,1312200,2,3,5,MS Wade,M Prasidh Krishna,Shubman Gill,,6,0,6,0,0,,,,Gujarat Titans
143,143,143,1312200,2,3,6,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
144,144,144,1312200,2,3,7,MS Wade,M Prasidh Krishna,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
145,145,145,1312200,2,4,1,Shubman Gill,TA Boult,MS Wade,,1,0,1,0,0,,,,Gujarat Titans
146,146,146,1312200,2,4,2,MS Wade,TA Boult,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
147,147,147,1312200,2,4,3,MS Wade,TA Boult,Shubman Gill,,0,0,0,0,1,MS Wade,caught,R Parag,Gujarat Titans
148,148,148,1312200,2,4,4,HH Pandya,TA Boult,Shubman Gill,wides,0,1,1,0,0,,,,Gujarat Titans
149,149,149,1312200,2,4,5,HH Pandya,TA Boult,Shubman Gill,,0,0,0,0,0,,,,Gujarat Titans
